timestamps,TP9,AF7,AF8,TP10,Right AUX
1718226380.080,-38.086,-28.320,-59.082,-53.223,0.000
1718226380.084,-37.109,-37.598,-56.152,-54.199,0.000
1718226380.088,-41.992,-33.203,-39.551,-56.152,0.000
1718226380.092,-39.551,-31.738,-40.527,-49.316,0.000
1718226380.096,-33.203,-43.457,-52.734,-45.410,0.000
1718226380.100,-26.367,-43.945,-69.824,-41.504,0.000
1718226380.104,-33.203,-41.992,-52.734,-42.480,0.000
1718226380.108,-36.133,-41.016,-33.691,-47.363,0.000
1718226380.112,-33.203,-41.016,-33.203,-39.062,0.000
1718226380.116,-39.062,-41.504,-43.457,-38.086,0.000
1718226380.119,-39.062,-34.668,-45.898,-46.387,0.000
1718226380.123,-40.039,-30.762,-38.086,-32.227,0.000
1718226380.127,-50.781,-36.621,-38.574,-26.367,0.000
1718226380.131,-53.711,-47.363,-52.734,-30.273,0.000
1718226380.135,-50.781,-46.387,-52.734,-32.227,0.000
1718226380.139,-41.016,-47.852,-41.016,-25.879,0.000
1718226380.143,-31.250,-46.875,-42.480,-18.066,0.000
1718226380.147,-34.668,-40.527,-45.898,-33.203,0.000
1718226380.151,-41.992,-35.156,-46.875,-46.875,0.000
1718226380.155,-27.832,-25.391,-44.922,-31.250,0.000
1718226380.158,-31.738,-34.668,-38.574,-39.551,0.000
1718226380.162,-56.152,-39.551,-40.039,-56.152,0.000
1718226380.166,-56.641,-39.551,-49.316,-53.711,0.000
1718226380.170,-47.852,-42.480,-41.016,-50.293,0.000
1718226380.174,-48.340,-43.945,-43.945,-51.758,0.000
1718226380.178,-44.922,-41.504,-49.316,-64.453,0.000
1718226380.182,-43.945,-35.156,-34.668,-58.594,0.000
1718226380.186,-43.945,-46.875,-38.574,-49.805,0.000
1718226380.190,-44.434,-56.152,-60.059,-54.199,0.000
1718226380.194,-44.922,-50.293,-63.965,-63.477,0.000
1718226380.198,-39.551,-39.551,-46.875,-53.223,0.000
1718226380.201,-33.691,-30.762,-31.250,-25.391,0.000
1718226380.205,-35.156,-34.180,-49.316,-31.250,0.000
1718226380.209,-43.945,-36.133,-65.918,-43.457,0.000
1718226380.213,-44.434,-41.504,-47.852,-32.715,0.000
1718226380.217,-47.852,-51.758,-38.086,-29.785,0.000
1718226380.221,-47.852,-54.688,-50.293,-36.621,0.000
1718226380.225,-32.227,-49.316,-48.340,-32.227,0.000
1718226380.229,-23.926,-38.574,-39.551,-18.555,0.000
1718226380.233,-40.039,-46.875,-45.410,-19.043,0.000
1718226380.237,-48.828,-55.664,-40.527,-31.738,0.000
1718226380.241,-37.109,-48.828,-41.016,-31.738,0.000
1718226380.244,-34.180,-46.387,-59.082,-39.062,0.000
1718226380.248,-28.809,-48.828,-56.152,-35.645,0.000
1718226380.252,-31.250,-53.711,-53.223,-31.738,0.000
1718226380.256,-37.598,-49.805,-56.641,-43.457,0.000
1718226380.260,-46.387,-48.828,-43.457,-47.852,0.000
1718226380.264,-61.035,-56.641,-40.527,-60.059,0.000
1718226380.268,-51.270,-58.105,-55.176,-70.312,0.000
1718226380.272,-41.016,-51.270,-59.570,-69.336,0.000
1718226380.276,-54.688,-46.387,-51.758,-60.547,0.000
1718226380.280,-53.223,-53.223,-50.293,-52.734,0.000
1718226380.283,-48.340,-54.688,-50.293,-62.500,0.000
1718226380.287,-61.035,-50.293,-49.805,-60.059,0.000
1718226380.291,-59.570,-47.363,-40.527,-48.828,0.000
1718226380.295,-58.105,-48.828,-35.156,-46.875,0.000
1718226380.299,-54.688,-50.293,-49.316,-45.898,0.000
